job_name,company_name,city,salary,jd_text
数据分析师,南京福元商贸有限公司,苏州,5000.0,无需经验 数据分析 excel sql 数学 统计分析 数据支持 数据挖掘 数据可视化 计算机科学 tableau 五险一金 绩效奖金 年终奖金 定期体检 带薪年假 周末双休
算法工程师,吉盛微（上海）半导体技术有限公司,苏州,20000.0,3年及以上 硕士 调试 c++ matlab 计算机软件 halcon opencv 视觉检测 视觉硬件选型 视觉方案设计 客户需求方案 方案 五险一金 补充医疗保险 子女医疗保险 带薪年假 年终奖金 定期体检 出差补贴 定期团建
数据治理工程师,上海艾杰飞人才管理咨询有限公司,上海,9000.0,2年及以上 本科 项目管理 sql 英语 银行 运维 日语 商务 金融机构 数据管理 数据治理 五险一金 带薪休假 医疗保险 法定休假 公积金 补充医疗保险 带薪年假 带薪病假 定期体检
数据分析师,中粮可口可乐饮料（四川）有限公司,成都,8000.0,3年及以上 本科 excel 市场营销 ppt 销售策略 经济学 工商管理 价格管理 价格测算 促销活动设计 快消零售行业 五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检
算法工程师,上海翱莺智能科技有限公司,杭州,9000.0,无需经验 本科 计算机 java 电子 自动化 ai 调优 go tensorflow 性能评估 深度学习框架 绩效奖金 年终奖金 弹性工作 补充公积金 员工旅游 交通补贴 通讯补贴 带薪年假
数据分析师,河南塔韵文化传媒有限公司,郑州,6000.0,无需经验 办公软件 excel 自动化 数学 统计 数据报表 报表整理 数据分类整理 报表开发 带薪年假 房补 包住 做五休二 五险一金 年终奖 全职 双休 交通补助 下午茶 有人带 话补 法定节假 加班补助 节假日
算法工程师,广州斯坦雷电气有限公司,广州,5040.0,2年及以上 本科 计算机 java 需求分析 vue react 日语 oa kafka ai mes 五险一金 年终奖金 定期体检 交通补贴 通讯补贴 带薪年假 补充医疗保险 免费班车 节日福利
算法工程师,福建博思软件股份有限公司,北京,30000.0,3年及以上 硕士 计算机 财务 人工智能 效果评估 tensorflow 深度学习框架 模型微调 模型训练 五险一金 年终奖金 定期体检 餐饮补贴 交通补贴 通讯补贴 带薪年假 周末双休 股票期权 方案
数据标注师,石家庄鸣迅信息技术有限公司,长春,6000.0,无需经验 本科 电子 理工科 质检 人工智能 标注 计算 计算机视觉 质量审核 数据标注 五险一金 年终奖金 绩效奖金 专业培训 餐饮补贴 定期体检 弹性工作 交通补贴 带薪年假 周末双休 节日福利 通讯补贴 五险
数据开发,宁波骏安茂飞国际贸易有限公司,宁波,13000.0,3年及以上 本科 java mysql 数据库 数据分析 sql 数学 etl 分析报告 kettle 数据仓库 五险一金 餐饮补贴 员工旅游 周末双休 节日福利
数据分析师,定律安侯保险代理有限公司,南京,7000.0,1年及以上 本科 计算机 mysql 数据库 数据分析 excel css html javascript 前端开发 数学 五险一金 年终奖金 专业培训 带薪年假 周末双休 节日福利 补充医疗保险
算法工程师,派姆特科技（苏州）有限公司,苏州,23000.0,3年及以上 本科 c++ 编程 数学 算法 深度学习 计算机科学 技术方案设计 实验验证 slam 三维重建 五险一金 年终奖金 定期体检 绩效奖金 专业培训 员工旅游 带薪年假 方案 上五休二
C/C++,江苏新质信息科技有限公司,无锡,10000.0,3年及以上 本科 Makefile cmake xmake gdb 五险一金 定期体检 餐饮补贴 通讯补贴 带薪年假 周末双休 节假日福利 团建旅游 股权激励 结婚礼金 生育礼金 员工培训
算法工程师,中控技术股份有限公司,杭州,15000.0,1年及以上 硕士 化工 ai 人工智能 石化 化工设计 算法开发 技术攻关 工艺优化 方案 央企 培训 五险一金 餐饮补贴 交通补贴 年终奖金 定期体检 弹性工作 员工旅游
